"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09","WT11"
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-10",,,,,"0.05","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-11",,,,,"1.10","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-13",,,,,"0.18","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-16",,,,,"0.67","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-18",,,,,"0.16","2.0",,,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-19",,,,,"0.00","0.0","2",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-20",,,,,"0.00","0.0","2",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-21",,,,,"0.00","0.0","1",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-22",,,,,"0.00","0.0","1",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-23",,,,,"0.00","0.0","1",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-24",,,,,"0.62","8.5","9",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-25",,,,,"0.00","0.0","8",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-26",,,,,"0.00","0.0","7",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-27",,,,,"0.00","0.0","1",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-28",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-29",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-30",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-01-31",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-01",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-02",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-03",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-04",,,,,"1.10","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-05",,,,,"0.46","0.5","1",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-06",,,,,"0.92","7.2","7",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-07",,,,,"0.00","0.0","6",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-08",,,,,"0.00","0.0","3",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-09",,,,,"0.49","6.5","9",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-10",,,,,"0.00","0.0","8",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-11",,,,,"0.04","0.0","6",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-12",,,,,"0.00","0.0","6",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-13",,,,,"0.00","0.0","6",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-14",,,,,"0.00","0.0","6",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-15",,,,,"0.00","0.0","6",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-16",,,,,"0.47","1.0","3",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-17",,,,,"0.45","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-18",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-19",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-20",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-21",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-22",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.6625","-71.4159","8.8","2016-02-23",,,,,"0.00","0.0","0",,,,,,,,,,,,,,,,,,
